Common and binomial names,Image,Status
Brent goose(Branta bernicla),,A winter visitor
Red-breasted goose(Branta ruficollis),,A rare vagrant
Greater Canada goose(Branta canadensis),,"A & C resident introduced population, some wild vagrants"
Barnacle goose(Branta leucopsis),,A & C winter visitor and resident introduced population
Cackling goose(Branta hutchinsii),,A rare vagrant
Snow goose(Anser caerulescens),,"A & C resident introduced population, some wild vagrants"
Greylag goose(Anser anser),,"A & C resident wild and feral populations, winter visitor"
Taiga bean goose(Anser fabalis),,A winter visitor
Pink-footed goose(Anser brachyrhynchus),,A winter visitor
Tundra bean goose(Anser serrirostris),,A winter visitor
Greater white-fronted goose(Anser albifrons),,A winter visitor
Lesser white-fronted goose(Anser erythropus),,A rare vagrant
Mute swan(Cygnus olor),,A & C resident breeding species
Tundra swan or Bewick's swan(Cygnus columbianus),,A winter visitor
Whooper swan(Cygnus cygnus),,A winter visitor and occasional breeder
Egyptian goose(Alopochen aegyptiaca),,C resident introduced population
Ruddy shelduck(Tadorna ferruginea),,B Records since 1946 are presumed escapes from captivity
Common shelduck(Tadorna tadorna),,A resident breeder and winter visitor
Mandarin duck(Aix galericulata),,C resident introduced population
Baikal teal(Sibirionetta formosa),,A rare vagrant
Garganey(Spatula querquedula),,A breeding summer visitor
Blue-winged teal(Spatula discors),,A rare vagrant
Northern shoveler(Spatula clypeata),,A resident breeder and winter visitor
Gadwall(Mareca strepera),,A & C resident breeder and winter visitor
Falcated duck(Mareca falcata),,A rare vagrant
Eurasian wigeon(Mareca penelope),,A resident breeder and winter visitor
American wigeon(Mareca americana),,A scarce migrant
Mallard(Anas platyrhynchos),,"A & C resident breeder, winter visitor and naturalised releases"
American black duck(Anas rubripes),,A rare vagrant
Northern pintail(Anas acuta),,A resident breeder and winter visitor
Eurasian teal(Anas crecca),,A resident breeder and winter visitor
Green-winged teal(Anas carolinensis),,A scarce migrant
Red-crested pochard(Netta rufina),,A & C scarce migrant and introduced breeder
Canvasback(Aythya valisineria),,A rare vagrant
Redhead(Aythya americana),,A rare vagrant
Common pochard(Aythya ferina),,A resident breeder and winter visitor
Ferruginous duck(Aythya nyroca),,A scarce migrant
Ring-necked duck(Aythya collaris),,A scarce migrant
Tufted duck(Aythya fuligula),,A resident breeder and winter visitor
Greater scaup(Aythya marila),,A winter visitor and occasional breeder
Lesser scaup(Aythya affinis),,A scarce vagrant
Steller's eider(Polysticta stelleri),,A rare vagrant
King eider(Somateria spectabilis),,A rare vagrant
Common eider(Somateria mollissima),,A resident breeder and winter visitor
Harlequin duck(Histrionicus histrionicus),,A rare vagrant
Surf scoter(Melanitta perspicillata),,A scarce migrant
Velvet scoter(Melanitta fusca),,A winter visitor
White-winged scoter(Melanitta deglandi),,A rare vagrant
Common scoter(Melanitta nigra),,A resident breeder and winter visitor
Black scoter(Melanitta americana),,A rare vagrant
Long-tailed duck(Clangula hyemalis),,A winter visitor and occasional breeder
Bufflehead(Bucephala albeola),,A rare vagrant
Common goldeneye(Bucephala clangula),,A resident breeder and winter visitor
Barrow's goldeneye(Bucephala islandica),,A rare vagrant
Smew(Mergellus albellus),,A winter visitor
Hooded merganser(Lophodytes cucullatus),,A rare vagrant
Goosander(Mergus merganser),,A resident breeder and winter visitor
Red-breasted merganser(Mergus serrator),,A resident breeder and winter visitor
Ruddy duck(Oxyura jamaicensis),,C: introduced species currently subject to an eradication programme
Red grouse(Lagopus lagopus scotica),,A resident breeding species
Ptarmigan(Lagopus muta),,A resident breeding species
Black grouse(Tetrao tetrix),,A resident breeding species
Western capercaillie(Tetrao urogallus),,C resident reintroduced population
Red-legged partridge(Alectoris rufa),,C resident introduced population
Grey partridge(Perdix perdix),,A & C resident breeder and introduced gamebird
Common quail(Coturnix coturnix),,A breeding summer visitor
Common pheasant(Phasianus colchicus),,C resident introduced population
Golden pheasant(Chrysolophus pictus),,C resident introduced population
Lady Amherst's pheasant(Chrysolophus amherstiae),,C introduced population now extinct
Red-throated diver(Gavia stellata),,A resident breeder and winter visitor
Black-throated diver(Gavia arctica),,A resident breeder and winter visitor
Pacific diver(Gavia pacifica),,A rare vagrant
Great northern diver(Gavia immer),,"A winter visitor, has bred"
White-billed diver(Gavia adamsii),,A rare vagrant
Black-browed albatross(Thalassarche melanophris),,A rare vagrant
Atlantic yellow-nosed albatross(Thalassarche chlororhynchos),,A rare vagrant
Northern fulmar(Fulmarus glacialis),,"A resident and migrant breeder, passage migrant"
Fea's petrel(Pterodroma feae),,A rare vagrant
Capped petrel(Pterodroma hasitata),,B rare vagrant
Cory's shearwater(Calonectris borealis),,A scarce migrant
Scopoli's shearwater(Calonectris diomedea),,A rare vagrant
Great shearwater(Ardenna gravis),,A passage migrant
Sooty shearwater(Ardenna grisea),,A passage migrant
Manx shearwater(Puffinus puffinus),,A breeding summer visitor
Yelkouan shearwater(Puffinus yelkouan),,A rare vagrant
Balearic shearwater(Puffinus mauretanicus),,A passage migrant
Macaronesian shearwater(Puffinus baroli),,A rare vagrant
Wilson's storm petrel(Oceanites oceanicus),,"A rare vagrant, more regularly seen well offshore"
White-faced storm petrel(Pelagodroma marina),,A rare vagrant
European storm petrel(Hydrobates pelagicus),,A breeding summer visitor
Leach's storm petrel(Oceanodroma leucorhea),,A breeding summer visitor
Swinhoe's storm petrel(Oceanodroma monorhis),,A rare vagrant
Red-billed tropicbird(Phaethon aethereus),,A rare vagrant
Northern gannet(Morus bassanus),,A breeding summer visitor and passage migrant
Red-footed booby(Sula sula),,A rare vagrant
Great cormorant(Phalacrocorax carbo),,A resident breeding species
Double-crested cormorant(Phalacrocorax auritus),,A rare vagrant
European shag(Phalacrocorax aristotelis),,A resident breeding species
Magnificent frigatebird(Fregata magnificens),,A rare vagrant
Ascension frigatebird(Fregata aquila),,A rare vagrant
Dalmatian pelican(Pelecanus crispus),,A very rare migrant
Great bittern(Botaurus stellaris),,A resident breeding species and winter migrant
American bittern(Botaurus lentiginosus),,A rare vagrant
Little bittern(Ixobrychus minutus),,"A scarce migrant, recently bred"
Black-crowned night heron(Nycticorax nycticorax),,"A scarce migrant, has bred"
Green heron(Butorides virescens),,A rare vagrant
Squacco heron(Ardeola ralloides),,A rare vagrant
Chinese pond heron(Ardeola bacchus),,A rare vagrant
Cattle egret(Bubulcus ibis),,"A scarce but increasing resident, recently bred"
Little egret(Egretta garzetta),,A resident breeding species and passage migrant
